company,sector,horizon_days,amount,date_BUY_fix,date_SELL_fix,price_BUY,price_SELL,Volatility_Buy,Volatility_sell,Sharpe_Ratio,expected_return_yearly,inflation,nominal_return,investment,ESG_ranking,PE_ratio,EPS_ratio,PS_ratio,PB_ratio,NetProfitMargin_ratio,current_ratio,roa_ratio,roe_ratio
PG,FMCG,600,15000,2018-08-03,2020-03-25,77.46331024169922,99.07266235351562,0.1517428852691342,0.3012708125939328,0.1517428852691342,0.1269896164724497,1.68,0.2789624151665015,0,25.1,19.88,3.66,2.9,3.44,14.19,0.83,7.71,17.41
GM,AUTO,270,4000,2018-06-26,2019-03-22,38.06182861328125,34.890846252441406,0.2646535212198198,0.3129427088796654,0.2646535212198198,0.0302417897608359,1.68,-0.0833113509352875,0,30.6,0.0,-3.3,0.37,1.32,-3.28,0.88,-2.15,-12.3
BAC,BANK,60,50,2018-01-12,2018-03-13,29.16351890563965,30.371034622192383,0.2132245459071874,0.2184920398313134,0.2132245459071874,0.0310852889225996,1.68,0.0414050074155908,0,26.3,17.8,1.55,3.0,1.06,16.71,0.91,0.73,6.16
F,AUTO,1,50,2016-09-02,2016-09-02,10.057379722595217,10.057379722595217,0.2730257144738837,0.2730257144738837,0.2730257144738837,-3.281346707482722e-05,-0.2,0.0,0,29.7,5.36,1.81,0.25,1.25,4.72,1.16,3.09,23.97
NVDA,TECH,2,400,2014-03-05,2014-03-07,17.704862594604492,17.438905715942383,0.2194952640377143,0.2200152003501287,0.2194952640377143,0.0027020118147106,-0.15,-0.0150216855533891,0,12.9,20.08,0.74,2.15,1.89,10.65,5.95,7.09,9.9
KSS,RETAIL,210,4000,2017-04-04,2017-10-31,32.09473419189453,36.57514572143555,0.4362426681563612,0.408805751835709,0.4362426681563612,0.0039437284988318,1.96,0.1395995836186901,0,12.9,9.65,3.43,0.3,1.14,3.06,1.72,4.46,11.81
SC,BANK,60,500,2016-10-07,2016-12-06,11.585165023803713,12.459178924560549,0.5450976782743834,0.5386342076038817,0.5450976782743834,0.0018887096530335,-0.2,0.0754425076346365,1,26.9,5.17,2.13,0.56,0.77,9.77,0.91,1.81,14.4
MSFT,TECH,3,25000,2017-10-19,2017-10-23,74.30409240722656,75.18150329589844,0.1438324344296626,0.1383705743790908,0.1438324344296626,0.0017937322152668,1.96,0.0118083790575516,0,14.7,24.24,2.94,5.62,6.14,26.62,3.12,11.13,33.43
MSFT,TECH,15,1500,2018-07-27,2018-08-10,104.14627838134766,105.42296600341795,0.2220733085927407,0.2227586002521403,0.2220733085927407,0.0089686610763342,1.68,0.0122586005175866,0,14.7,45.35,2.11,6.74,8.88,15.02,2.9,6.57,20.09
NVDA,TECH,50,300,2015-12-21,2016-02-09,32.19091033935547,24.94061279296875,0.3392603858686595,0.35656909445572,0.3392603858686595,0.067550295367765,-0.5,-0.2252280991731619,0,12.9,25.64,1.08,3.21,3.34,12.33,6.82,8.36,13.6
PEP,FMCG,1,100,2017-02-15,2017-02-16,94.8310775756836,96.06612396240234,0.1262335527632923,0.1268665558160415,0.1262335527632923,0.0002175439120882,1.96,0.0130236460271483,0,17.6,21.32,4.36,2.15,11.85,10.08,1.25,8.73,53.27
GOOG,TECH,1,3000,2017-02-23,2017-02-24,831.3300170898438,828.6400146484375,0.1678616402013174,0.1677085327660058,0.1678616402013174,0.0005243244710499,1.96,-0.0032357816824934,0,22.8,27.73,27.83,6.39,3.84,21.58,6.29,12.34,14.85
F,AUTO,540,400,2017-09-19,2019-03-13,9.958152770996094,8.002202987670898,0.1983507362953086,0.2800694659547858,0.1983507362953086,-0.0177192722204066,1.96,-0.1964169287522936,0,29.7,9.24,1.1,0.26,1.24,2.87,1.2,1.8,14.11
MSFT,TECH,6,15000,2015-01-23,2015-01-29,41.912235260009766,37.31949615478516,0.1874168457599582,0.2130664924464858,0.1874168457599582,0.0035874644305336,-0.5,-0.109579913281474,0,14.7,16.7,2.48,3.7,3.7,22.12,2.45,12.29,23.02
DB,BANK,240,50000,2018-05-14,2019-01-09,13.276482582092283,8.414373397827148,0.287376525334276,0.3492824038448385,0.287376525334276,-0.0926672152183928,1.68,-0.3662196786084963,0,30.0,0.0,-0.85,0.64,0.34,-2.93,0.76,-0.07,-1.63
JPM,BANK,3,10000,2017-03-20,2017-03-23,80.3873062133789,78.03006744384766,0.1985145419306614,0.2008188091768158,0.1985145419306614,0.0012498223401935,1.96,-0.0293235198511843,0,27.9,12.09,6.49,2.65,1.09,21.82,1.03,0.95,9.35
FB,TECH,480,50000,2017-07-05,2018-10-29,150.33999633789062,142.08999633789062,0.1728365154180122,0.3556566691753818,0.1728365154180122,0.3966492856346543,1.96,-0.0548756166087568,0,31.6,34.39,4.39,13.37,6.59,39.58,12.31,19.65,21.7
AAPL,TECH,30,20000,2014-03-21,2014-04-21,17.080673217773438,17.026185989379883,0.2479903005507427,0.2345938381873087,0.2479903005507427,0.0201996268823387,-0.15,-0.0031899930230418,0,16.5,11.51,1.49,2.48,3.45,21.42,1.63,18.0,30.36
AXP,BANK,60,100,2017-05-25,2017-07-24,73.0887680053711,80.52677917480469,0.198445655720754,0.1718361009564037,0.198445655720754,0.024202500743147,1.96,0.1017668155096963,0,19.8,13.47,5.52,1.82,3.18,13.44,2.0,3.21,24.42
KSS,RETAIL,1,1500,2018-03-27,2018-03-28,56.1562614440918,57.73006439208984,0.3472940560339194,0.3475804597633638,0.3472940560339194,1.8779659518246955e-05,1.68,0.0280254224110858,0,12.9,11.12,5.14,0.48,1.77,4.28,1.99,6.4,16.8
PEP,FMCG,80,2000,2014-08-08,2014-10-27,74.69593048095703,78.83647155761719,0.1309913499387287,0.1290051337256244,0.1309913499387287,0.0174035129670621,-0.15,0.0554319499067723,1,17.6,16.68,4.43,1.72,4.73,10.3,1.28,8.78,29.38
MSFT,TECH,660,50000,2016-11-18,2018-09-10,56.58246612548828,106.19762420654295,0.231531992626919,0.2242899457144892,0.231531992626919,0.3946210873587054,-0.2,0.8768645391139097,1,14.7,25.88,2.08,4.64,5.95,22.98,2.69,11.1,28.99
GM,AUTO,2,300,2017-04-21,2017-04-24,29.82286071777344,29.96424865722656,0.2511288944995384,0.2507218769335398,0.2511288944995384,0.0002240132574876,1.96,0.0047409247822044,0,30.6,4.83,6.46,0.33,1.01,6.76,0.88,4.58,22.49
NVDA,TECH,4,200,2014-08-15,2014-08-19,18.168087005615234,18.564743041992188,0.2375634375148203,0.2372911305224558,0.2375634375148203,0.0054040236294212,-0.15,0.0218325702785526,1,12.9,18.37,0.91,2.21,2.1,12.06,6.19,7.94,12.31
OR,FMCG,2,300,2018-03-16,2018-03-19,9.045549392700195,9.08371639251709,0.3000316751621432,0.2985628560368625,0.3000316751621432,-0.0003383583247149,1.68,0.0042194230731519,0,20.5,0.0,-0.19,5.16,0.97,-13.6,12.83,-1.99,-2.52
OR,FMCG,3,500,2018-06-01,2018-06-04,9.781628608703612,9.714563369750977,0.2821456446051356,0.2822178218826381,0.2821456446051356,-0.0005075374870724,1.68,-0.006856244663896,0,20.5,0.0,-0.19,5.16,0.97,-13.6,12.83,-1.99,-2.52
M,RETAIL,30,50000,2016-08-02,2016-09-01,25.631336212158203,28.43232727050781,0.3677039395413085,0.3998487013374475,0.3677039395413085,0.0007135182898009,-0.2,0.1092799468262197,1,14.5,11.15,2.49,0.34,2.11,2.99,1.32,3.83,19.21
FB,TECH,80,1500,2017-11-24,2018-02-12,182.77999877929688,176.41000366210938,0.1669749207156773,0.1978282312349102,0.1669749207156773,0.0661082142724424,1.96,-0.0348506136323982,0,31.6,33.11,5.16,13.79,6.97,41.69,13.38,21.24,23.49
PG,FMCG,7,50,2015-03-13,2015-03-20,68.69129943847656,71.13407897949219,0.1227608434438533,0.1250815584471782,0.1227608434438533,0.0014815455255119,-0.5,0.0355617022968608,1,25.1,21.82,3.15,2.96,2.94,13.27,0.99,6.47,13.42
FB,TECH,20,20000,2018-07-27,2018-08-16,174.88999938964844,174.6999969482422,0.3374710043711899,0.3420531150115538,0.3374710043711899,0.0165270535681106,1.68,-0.0010864111273906,0,31.6,30.08,6.46,11.8,7.08,39.31,10.67,22.25,25.2
JPM,BANK,660,3000,2016-07-11,2018-05-02,54.89554214477539,99.02783203125,0.2778210265980637,0.1879805554921353,0.2778210265980637,0.2749609148425908,-0.2,0.8039321256739759,1,27.9,9.22,5.9,2.0,0.78,21.83,1.03,0.92,8.92
BAC,BANK,80,1000,2017-03-24,2017-06-12,21.34645271301269,22.02793502807617,0.2721018004055385,0.2653181881942773,0.2721018004055385,0.0414470518967995,1.96,0.031924850663738,0,26.3,13.78,1.58,2.52,0.81,18.86,0.91,0.81,6.7
BBY,RETAIL,480,200,2014-12-12,2016-04-05,30.52652931213379,27.472745895385746,0.4814679023734451,0.3313652229884774,0.4814679023734451,0.344940425695878,-0.15,-0.1000370328877911,0,12.0,9.82,2.86,0.25,2.15,2.6,1.4,6.94,23.0
JPM,BANK,60,20000,2014-07-21,2014-09-19,48.58194732666016,50.97600936889648,0.1824758912163953,0.1779461558669489,0.1824758912163953,0.0249964468038718,-0.15,0.0492788406800348,1,27.9,12.33,3.87,1.75,0.79,14.26,0.96,0.6,6.84
PEP,FMCG,70,20000,2014-04-14,2014-06-23,68.60681915283203,73.12408447265625,0.1394246135279095,0.1317461516291518,0.1394246135279095,0.0152280738461793,-0.15,0.0658428036105467,1,17.6,15.51,4.42,1.61,4.55,10.36,1.2,8.92,29.78
TSLA,AUTO,660,1500,2016-05-02,2018-02-21,48.36000061035156,66.66000366210938,0.430380336426869,0.3677120626458468,0.430380336426869,0.9325654048359208,-0.2,0.3784119689990379,1,31.1,0.0,-1.56,6.98,31.7,-23.89,1.02,-12.99,-99.49
JPM,BANK,540,200,2017-01-09,2018-07-03,76.94966888427734,95.07296752929688,0.239212796367815,0.1918986159308809,0.239212796367815,0.224968021234847,1.96,0.2355214636761426,0,27.9,12.38,6.19,2.67,1.07,21.46,1.01,0.92,9.03
HMC,AUTO,720,100,2013-12-09,2015-11-30,41.25286102294922,32.68000030517578,0.2260689387620826,0.2435716057108554,0.2260689387620826,-0.0180898714415273,1.41,-0.2078125130037478,0,28.5,12.98,2.69,0.53,1.05,4.1,1.27,3.16,8.21
M,RETAIL,240,2000,2014-02-05,2014-10-03,37.62736129760742,44.32466125488281,0.230007680269295,0.2245985589224663,0.230007680269295,0.0057081463184077,-0.15,0.1779901573300396,1,14.5,9.89,3.9,0.53,2.25,5.32,1.52,6.95,25.28
FB,TECH,20,1000,2015-11-27,2015-12-17,105.4499969482422,106.22000122070312,0.2572360664717767,0.2585006493950181,0.2572360664717767,0.0165270535681106,-0.5,0.007302079608773,1,31.6,90.64,0.99,15.78,6.1,17.64,10.68,6.52,7.28
GM,AUTO,100,1000,2018-05-18,2018-08-27,34.769920349121094,34.98050308227539,0.2282471588683162,0.2784862415851493,0.2282471588683162,0.0112006628743836,1.68,0.0060564629150673,0,30.6,0.0,-3.87,0.34,1.32,-3.77,0.86,-2.42,-13.53
M,RETAIL,360,200,2015-02-17,2016-02-12,47.574893951416016,30.11260986328125,0.2199239947367458,0.3154113071582032,0.2199239947367458,0.0085622194776115,-0.5,-0.3670483029550719,0,14.5,11.07,4.27,0.61,2.99,5.43,1.69,7.13,26.97
TGT,RETAIL,30,50,2017-05-05,2017-06-05,51.01326370239258,50.0473518371582,0.2571358415764941,0.2404531490139128,0.2571358415764941,0.009379847875263,1.96,-0.0189345239871228,0,14.8,10.14,4.9,0.41,2.5,3.95,0.96,7.32,24.95
HMC,AUTO,3,50000,2016-04-01,2016-04-04,26.290000915527344,26.170000076293945,0.2665979062212093,0.2664773043720741,0.2665979062212093,-7.53744643396971e-05,-0.2,-0.0045645049469178,0,28.5,15.38,1.54,0.35,0.73,2.36,1.14,1.88,4.71
TGT,RETAIL,360,500,2017-01-13,2018-01-08,61.89700698852539,61.75308227539063,0.2243999585826562,0.3048739652530557,0.2243999585826562,0.1125581745031565,1.96,-0.0023252289591554,0,14.8,12.04,4.72,0.47,2.89,3.89,0.94,7.14,23.7
MSFT,TECH,480,50,2018-07-16,2019-11-08,101.46719360351562,143.940185546875,0.2184171504179473,0.2429191516761347,0.2184171504179473,0.2869971544426948,1.68,0.418588416954973,0,14.7,45.35,2.11,6.74,8.88,15.02,2.9,6.57,20.09
